,year,total_snowfall_cm
0,1976,381.81
1,1977,330.7
2,1978,318.01
3,1979,348.79
4,1980,350.93
5,1981,365.96
6,1982,403.0
7,1983,310.19
8,1984,422.09
9,1985,339.38
10,1986,410.69
11,1987,498.56
12,1988,444.83
13,1989,440.12
14,1990,389.73
15,1991,419.35
16,1992,465.49
17,1993,411.44
18,1994,413.93
19,1995,430.12
20,1996,503.21
21,1997,265.75
22,1998,338.46
23,1999,423.28
24,2000,297.77
25,2001,267.94
26,2002,293.29
27,2003,416.71
28,2004,327.22
29,2005,360.93
30,2006,436.3
31,2007,260.19
32,2008,332.01
33,2009,407.38
34,2010,412.06
35,2011,345.03
36,2012,357.37
37,2013,295.58
38,2014,386.63
39,2015,432.15
40,2016,340.85
41,2017,426.35
42,2018,352.29
43,2019,376.49
44,2020,320.34
45,2021,345.64
46,2022,271.73
47,2023,328.76
48,2024,279.1
49,2025,331.24
